date,symbol,name,recommendation
10/16/15,DBI,Designer Brands,BUY
09/18/15,NVO,Novo Nordisk,BUY
09/18/15,MAR,Marriott International,BUY
08/21/15,DPLO,Diplomat Pharmacy,BUY
08/21/15,MYL,Mylan,BUY
07/20/15,PYPL,PayPal,BUY
07/17/15,UHAL,U-Haul,BUY
07/17/15,CSX,CSX,BUY
06/26/15,NXGN,NextGen Healthcare,SELL
06/19/15,CMG,Chipotle Mexican G…,BUY
06/19/15,MNDT,Mandiant,BUY
05/15/15,NDAQ,Nasdaq,BUY
04/17/15,JEF,Jefferies Financial …,BUY
04/17/15,CASY,Casey's General Sto…,BUY
03/20/15,TRIP,Tripadvisor,BUY
03/20/15,RH,RH,BUY
03/20/15,RH,RH,BUY
03/17/15,KMT,Kennametal,SELL
02/20/15,MNDT,Mandiant,BUY
02/20/15,META,Meta Platforms,BUY
02/17/15,MORN,Morningstar,SELL
02/10/15,WU,Western Union,SELL
02/02/15,PETM,PetSmart,SELL
01/16/15,RPM,RPM International,BUY
12/23/14,TTMI,TTM Technologies,SELL
12/19/14,IBKR,Interactive Brokers …,BUY
12/19/14,ATVI,Activision Blizzard,BUY
11/21/14,ZAYO,Zayo Group,BUY
11/21/14,VYX,NCR,BUY
10/17/14,MKC,McCormick,BUY
10/17/14,MKL,Markel Group,BUY
09/19/14,JWN,Nordstrom,BUY
09/19/14,CTSH,Cognizant Technolo…,BUY
08/15/14,BKNG,Booking Holdings,BUY
08/15/14,SWIR,Sierra Wireless,BUY
07/18/14,CRTO,Criteo,BUY
07/18/14,IDXX,Idexx Laboratories,BUY
06/20/14,SHW,Sherwin-Williams,BUY
06/20/14,CGNX,Cognex,BUY
06/02/14,DNOW,NOW,BUY
05/16/14,Lions,Gate Entertai…,BUY
05/16/14,WT,WisdomTree,BUY
04/17/14,CRI,Carter's,BUY
04/17/14,CLB,Core Laboratories,BUY
04/02/14,GOOG,Alphabet,BUY
03/28/14,GOOG,Alphabet,BUY
03/21/14,POST,Post,BUY
